date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2016-03-31,2059.739990234375,0.0659911144400589,0.11336707781096811,-0.017317003454875954,-0.027971716115822363,-0.02440522552994723,-0.03420111223694181,0.1658048725128617,-0.21758425781739976,1.496860280767606,22
2016-04-30,2065.300048828125,0.0026993982833325436,0.10150306325683575,-0.017317003454875954,-0.027971716115822363,-0.02440522552994723,-0.03420111223694181,0.16653668101280736,-0.20516704660499582,1.4274347504322031,21
2016-05-31,2096.949951171875,0.015324602525288666,0.11119553987547579,-0.017317003454875954,-0.027971716115822363,-0.02440522552994723,-0.03420111223694181,0.16684926814015033,-0.20460834320180518,1.3959091190264024,21
2016-06-30,2098.860107421875,0.0009109212401241518,0.18667933687374233,-0.018094633184175056,-0.031172480255358584,-0.025620500514683144,-0.03638715989132669,0.17218013547550232,-0.30894810708471326,1.4419719914285454,22
2016-07-31,2173.60009765625,0.035609800753315435,0.07396390334885534,-0.018094633184175056,-0.031172480255358584,-0.025620500514683144,-0.03638715989132669,0.1703151502896744,-0.32779448192313065,1.6184645496590384,20
2016-08-31,2170.949951171875,-0.0012192428990195348,0.0565081021699675,-0.015433861928217567,-0.024621130213041256,-0.021123137647269034,-0.02928812634876692,0.14969739427253734,-0.2634199724417167,1.0184248499516604,23
2016-09-30,2168.27001953125,-0.0012344511393169721,0.14577007613651666,-0.0150376110391603,-0.024398360206175678,-0.020943046106734402,-0.02889697009810936,0.14461976097075088,-0.3476685632693569,1.1736430708875736,21
2016-10-31,2126.14990234375,-0.019425678909034683,0.06617209008316643,-0.0150376110391603,-0.024398360206175678,-0.020943046106734402,-0.02889697009810936,0.1404847658713315,-0.3634376257415209,1.4488859804565586,21
2016-11-30,2198.81005859375,0.034174521829295035,0.1053180167489544,-0.0150376110391603,-0.024398360206175678,-0.020943046106734402,-0.02889697009810936,0.1394097562854585,-0.3592539167063999,1.6343967764642557,21
2016-12-31,2238.830078125,0.01820076244186586,0.07990380053641988,-0.012833891015115378,-0.024398360206175678,-0.020148648399434064,-0.02889697009810936,0.1311210660324795,-0.43055521040761824,2.427754388016539,21
2017-01-31,2278.8701171875,0.017884358198382078,0.06499749781943329,-0.009872471868135337,-0.01878489539287284,-0.01672503430458304,-0.02677650131155016,0.11452655337965187,-0.44928226545537486,3.6599076394384586,20
2017-02-28,2363.639892578125,0.037198160066815866,0.04621463294992225,-0.00894086424819249,-0.016568792412621876,-0.01443114759797959,-0.02655692724270727,0.10329788357319598,-0.6012770869911616,5.571300064702447,19
